Author,Title,Poetry Foundation ID,Content,Tag
Monica Sok,"ABC for Refugees
 
 
  
   Launch Audio in a New Window",144805,"Cherub-bee-dee how does a man
who doesn’t read English well know that cherub-bee-dum
those aren’t really words-bee-dee.
But birds.

Cherub-bee-dum, he stumbles, reading to me
by the sliding glass door cherub-bee-dee, through which I watch
my brother play in the dum-dum-yard.

Cherub-bee-dee, cherub-bee-dum, like how my father says
Fine then! Leave! My mother shouts,Stupid! Dumb!
We live in a small bee-dee-nest too, one hallway to bee-dum-slam doors.

Birds? What are birds?
Thanks to my father, reading with me, I have more feathers.

T-H-E. First word he ever taught me to pluck    ...
It is a word used all the time. Cherub-cherub-bee-dum!

The mail.The mailbox.The school bus.The the.

He asks me to read the mail. Not birds,mail.
If you don’t read this, you will turn into birds.
And I read it to him the best I can.
The end. A feather. Two feathers. The. The end.

Mother, mother. Repeat after me.
Cherub-bee-dee, cherub-bee-dum!
We read together before bedtime.",novel
Mary Jo Bang,ABC Plus E: Cosmic Aloneness Is the Bride of  Existence,49841,"A pack of  young flirts was patrolling the party,
They were cultural outsiders, consumed with    ...    what?
Their own notion of  beauty as reflected in the shine-more mirror
Of  a man's pants? Or nothing
But midnight and no one is counting.

They were practitioners, they admitted to the barman,
Of  psychological materialism, explaining they had read both
Sartre and Beauvoir and believed in the cerebellum,
The thalamus and the lower brain and that between
The lower and the upper parts there must be room for them,
Nant [ nothingness ] aside.

Indeed, the evening was a spectacular bacchanalia,
The girls lugging their blind-drunk partners around the floor.
One sitting it out with a volume of The Collected Camus.
That one was “imperious” (the word is Beauvoir's)
“The club was plunged into almost total darkness,
With violinists wandering about
‘Playing soulful Russian music' into the guests' ears.”
“‘If only it were possible to tell the truth,'
Exclaimed Camus at one point.”

There was vodka and champagne, both in quantities
Extremely beautiful and nice for getting tight. And dancing
Cheek to cheek, between the exchange of  furtive kisses
And giggles every time one of  the chaps said, “Don't
Leave me, I love you, I'll always love you.”
Which they took as irrefutable evidence
Of a general greed for human warmth,
I.e., for touch, even among the agonized
Post-adolescent dreamers who morphed on the dance floor
That night into naughty boys, echoing the girls' questions
Of   “how shall we live,” “what shall we do,”
Words without end, without weight.",novel
Taha Muhammad Ali,Abd el-Hadi Fights a Superpower,54301,"In his life
he neither wrote nor read.
In his life he
didn’t cut down a single tree,
didn’t slit the throat
of a single calf.
In his life he did not speak
of the New York Times
behind its back,
didn’t raise
his voice to a soul
except in his saying:
“Come in, please,
by God, you can’t refuse.”

—

Nevertheless—
his case is hopeless,
his situation
desperate.
His God-given rights are a grain of salt
tossed into the sea.

Ladies and gentlemen of the jury:
about his enemies
my client knows not a thing.
And I can assure you,
were he to encounter
the entire crew
of the aircraft carrier Enterprise,
he’d serve them eggs
sunny-side up,
and labneh
fresh from the bag.",novel
Rafael Campo,The Abdominal Exam,54465,"Before the glimmer of his sunken eyes,
What question could I answer with my lies?

Digesting everything, it’s all so plain
In him, his abdomen so thin the pain

Is almost visible. I probe the lump
His boyfriend noticed first, my left hand limp

Beneath the pressure of the right. With AIDS
You have to think lymphoma—swollen nodes,

A tender spleen, the liver’s jutting edge—
It strikes me suddenly I will oblige

This hunger that announces death is near,
And as I touch him, cold and cavalier,

The language of beneath the diaphragm
Has told me where it’s coming from

And where I’m going, too: soft skin to rocks,
The body reveling until it wrecks

Against the same internal, hidden shoal,
The treasures we can’t hide, our swallowed gold.",novel
Natalie Diaz,Abecedarian Requiring Further Examination of Anglikan Seraphym Subjugation of a Wild Indian Rezervation,56353,"Angels don’t come to the reservation.
Bats, maybe, or owls, boxy mottled things.
Coyotes, too. They all mean the same thing—
death. And death
eats angels, I guess, because I haven’t seen an angel
fly through this valley ever.
Gabriel? Never heard of him. Know a guy named Gabe though—
he came through here one powwow and stayed, typical
Indian. Sure he had wings,
jailbird that he was. He flies around in stolen cars. Wherever he stops,
kids grow like gourds from women’s bellies.
Like I said, no Indian I’ve ever heard of has ever been or seen an angel.
Maybe in a Christmas pageant or something—
Nazarene church holds one every December,
organized by Pastor John’s wife. It’s no wonder
Pastor John’s son is the angel—everyone knows angels are white.
Quit bothering with angels, I say. They’re no good for Indians.
Remember what happened last time
some white god came floating across the ocean?
Truth is, there may be angels, but if there are angels
up there, living on clouds or sitting on thrones across the sea wearing
velvet robes and golden rings, drinking whiskey from silver cups,
we’re better off if they stay rich and fat and ugly and
’xactly where they are—in their own distant heavens.
You better hope you never see angels on the rez. If you do, they’ll be marching you off to
Zion or Oklahoma, or some other hell they’ve mapped out for us.",novel
Helen Mort,Ablation,58575,"Inside the Northern General
they’re trying to burn away
a small piece of your heart.

I want to know which bit,
how much
and what it holds.

My questions live
between what doctors call the heart
and what we mean by it,

wide as the gap between brain and mind.
And in our lineage of bypassed hearts
we should be grateful

for the literal. I know my heart
is your heart — good for running,
not much else

and later as you sit up in your borrowed bed
I get the whole thing wrong,
call it oblation. Offering

or sacriﬁce. As if you’d given something up.
As if their tiny ﬁre was ritual
and we could warm by it.",novel
Amy Fleury,Ablution,56515,"Because one must be naked to get clean,
my dad shrugs out of his pajama shirt,
steps from his boxers and into the tub
as I brace him, whose long illness
has made him shed modesty too.
Seated on the plastic bench, he holds
the soap like a caught fish in his lap,
waiting for me to test the water’s heat
on my wrist before turning the nozzle
toward his pale skin. He leans over
to be doused, then hands me the soap
so I might scrub his shoulders and neck,
suds sluicing from spine to buttock cleft.
Like a child he wants a washcloth
to cover his eyes while I lather
a palmful of pearlescent shampoo
into his craniotomy-scarred scalp
and then rinse clear whatever soft hair
is left. Our voices echo in the spray
and steam of this room where once,
long ago, he knelt at the tub’s edge
to pour cups of bathwater over my head.
He reminds me to wash behind his ears,
and when he judges himself to be clean,
I turn off the tap. He grips the safety bar,
steadies himself, and stands. Turning to me,
his body is dripping and frail and pink.
And although I am nearly forty,
he has this one last thing to teach me.
I hold open the towel to receive him.",novel
Leigh Hunt,Abou Ben Adhem,44433,"Abou Ben Adhem (may his tribe increase!)
Awoke one night from a deep dream of peace,
And saw, within the moonlight in his room,
Making it rich, and like a lily in bloom,
An angel writing in a book of gold:—
Exceeding peace had made Ben Adhem bold,
And to the presence in the room he said,
""What writest thou?""—The vision raised its head,
And with a look made of all sweet accord,
Answered, ""The names of those who love the Lord.""
""And is mine one?"" said Abou. ""Nay, not so,""
Replied the angel. Abou spoke more low,
But cheerly still; and said, ""I pray thee, then,
Write me as one that loves his fellow men.""

The angel wrote, and vanished. The next night
It came again with a great wakening light,
And showed the names whom love of God had blest,
And lo! Ben Adhem's name led all the rest.",novel
Charles Bukowski,"About My Very Tortured Friend, Peter",49583,"he lives in a house with a swimming pool
and says the job is
killing him.
he is 27. I am 44. I can’t seem to
get rid of
him. his novels keep coming
back. “what do you expect me to do?” he screams
“go to New York and pump the hands of the
publishers?”
“no,” I tell him, “but quit your job, go into a
small room and do the
thing.”
“but I need ASSURANCE, I need something to
go by, some word, some sign!”
“some men did not think that way:
Van Gogh, Wagner—”
“oh hell, Van Gogh had a brother who gave him
paints whenever he
needed them!”

“look,” he said, “I’m over at this broad’s house today and
this guy walks in. a salesman. you know
how they talk. drove up in this new
car. talked about his vacation. said he went to
Frisco—saw Fidelio up there but forgot who
wrote it. now this guy is 54 years
old. so I told him: ‘Fidelio is Beethoven’s only
opera.’ and then I told
him: ‘you’re a jerk!’ ‘whatcha mean?’ he
asked. ‘I mean, you’re a jerk, you’re 54 years old and
you don’t know anything!’”

“what happened
then?”
“I walked out.”
“you mean you left him there with
her?”
“yes.”

“I can’t quit my job,” he said. “I always have trouble getting a
job. I walk in, they look at me, listen to me talk and
they think right away, ah ha! he’s too intelligent for
this job, he won’t stay
so there’s really no sense in hiring
him.
now, YOU walk into a place and you don’t have any trouble:
you look like an old wino, you look like a guy who needs a
job and they look at you and they think:
ah ha!: now here’s a guy who really needs work! if we hire
him he’ll stay a long time and work
HARD!”

“do any of those people,” he asks “know you are a
writer, that you write poetry?”
“no.”
“you never talk about
it. not even to
me! if I hadn’t seen you in that magazine I’d
have never known.”
“that’s right.”
“still, I’d like to tell these people that you are a
writer.”
“I’d still like to
tell them.”
“why?”
“well, they talk about you. they think you are just a
horseplayer and a drunk.”
“I am both of those.”
“well, they talk about you. you have odd ways. you travel alone.
I’m the only friend you
have.”
“yes.”
“they talk you down. I’d like to defend you. I’d like to tell
them you write
poetry.”
“leave it alone. I work here like they
do. we’re all the same.”
“well, I’d like to do it for myself then. I want them to know why
I travel with
you. I speak 7 languages, I know my music—”
“forget it.”
“all right, I’ll respect your
wishes. but there’s something else—”
“what?”
“I’ve been thinking about getting a
piano. but then I’ve been thinking about getting a
violin too but I can’t make up my
mind!”
“buy a piano.”
“you think
so?”
“yes.”

he walks away
thinking about
it.

I was thinking about it
too: I figure he can always come over with his
violin and more
sad music.",novel
John Ciardi,About the Teeth of Sharks,49771,"The thing about a shark is—teeth,
One row above, one row beneath.

Now take a close look. Do you find
It has another row behind?

Still closer—here, I’ll hold your hat:
Has it a third row behind that?

Now look in and...Look out! Oh my,
I’ll never know now! Well, goodbye.",novel
Gary Snyder,Above Pate Valley,47179,"We finished clearing the last
Section of trail by noon,
High on the ridge-side
Two thousand feet above the creek
Reached the pass, went on
Beyond the white pine groves,
Granite shoulders, to a small
Green meadow watered by the snow,
Edged with Aspen—sun
Straight high and blazing
But the air was cool.
Ate a cold fried trout in the
Trembling shadows. I spied
A glitter, and found a flake
Black volcanic glass—obsidian—
By a flower. Hands and knees
Pushing the Bear grass, thousands
Of arrowhead leavings over a
Hundred yards. Not one good
Head, just razor flakes
On a hill snowed all but summer,
A land of fat summer deer,
They came to camp. On their
Own trails. I followed my own
Trail here. Picked up the cold-drill,
Pick, singlejack, and sack
Of dynamite.
Ten thousand years.",novel
EMILE SOUVESTRE,"An ""Attic""  Philosopher",53315,"No one succeeds in obtaining a prominent place in literature, or in
surrounding himself with a faithful and steady circle of admirers drawn
from the fickle masses of the public, unless he possesses originality,
constant variety, and a distinct personality. It is quite possible to
gain for a moment a few readers by imitating some original feature in
another; but these soon vanish and the writer remains alone and
forgotten. Others, again, without belonging to any distinct group of
authors, having found their standard in themselves, moralists and
educators at the same time, have obtained undying recognition.",novel
ARTHUR TRAIN," ""GOLDFISH""

Being the Confessions af a Successful Man",56256,"I was fifty years old to-day. Half a century has hurried by since I
first lay in my mother's wondering arms. To be sure, I am not old; but I
can no longer deceive myself into believing that I am still young. After
all, the illusion of youth is a mental habit consciously encouraged to
defy and face down the reality of age. If, at twenty, one feels that he
has reached man's estate he, nevertheless, tests his strength and
abilities, his early successes or failures, by the temporary and
fictitious standards of youth.",novel
ISAAC TAYLOR HEADLAND,The Chinese Boy and Girl,56626,"No thorough study of Chinese child life can be made until
the wall of Chinese exclusiveness is broken down and the
homes of the East are thrown open to the people of the
West. Glimpses of that life however, are available, sufficient
in number and character to give a fairly good idea of
what it must be. The playground is by no means always
hidden, least of all when it is the street. The Chinese
nurse brings her Chinese rhymes, stories and games into
the foreigner's home for the amusement of its little ones.

Chinese kindergarten methods and appliances have no
superior in their ingenuity and their ability to interest, as
well as instruct. In the matter of travelling shows and
jugglers also, no country is better supplied, and these are
chiefly for the entertainment of the little ones.",novel
